"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"Decarbonization","Global","Global","emissCO2BySector","Year",1975,"Vint_1975","CO2 (MTC)",9.72984788
"Decarbonization","Global","Global","emissCO2BySector","Year",1990,"Vint_1990","CO2 (MTC)",72.647032411452
"Decarbonization","Global","Global","emissCO2BySector","Year",2005,"Vint_2005","CO2 (MTC)",144.6825385844
"Decarbonization","Global","Global","emissCO2BySector","Year",2010,"Vint_2010","CO2 (MTC)",169.797675674
"Decarbonization","Global","Global","emissCO2BySector","Year",2015,"Vint_2015","CO2 (MTC)",181.4747812793
"Decarbonization","Global","Global","emissCO2BySector","Year",2020,"Vint_2020","CO2 (MTC)",183.1592762534
"Decarbonization","Global","Global","emissCO2BySector","Year",2025,"Vint_2025","CO2 (MTC)",187.122094533487
"Decarbonization","Global","Global","emissCO2BySector","Year",2030,"Vint_2030","CO2 (MTC)",187.743142280901
"Decarbonization","Global","Global","emissCO2BySector","Year",2035,"Vint_2035","CO2 (MTC)",183.51925850975
"Decarbonization","Global","Global","emissCO2BySector","Year",2040,"Vint_2040","CO2 (MTC)",174.895491629132
"Decarbonization","Global","Global","emissCO2BySector","Year",2045,"Vint_2045","CO2 (MTC)",163.557023935457
"Decarbonization","Global","Global","emissCO2BySector","Year",2050,"Vint_2050","CO2 (MTC)",149.661470618005
"Decarbonization","Global","Global","emissCO2BySector","Year",2055,"Vint_2055","CO2 (MTC)",136.356462086224
"Decarbonization","Global","Global","emissCO2BySector","Year",2060,"Vint_2060","CO2 (MTC)",118.538947089109
"Decarbonization","Global","Global","emissCO2BySector","Year",2065,"Vint_2065","CO2 (MTC)",103.594661754585
"Decarbonization","Global","Global","emissCO2BySector","Year",2070,"Vint_2070","CO2 (MTC)",86.1621978866479
"Decarbonization","Global","Global","emissCO2BySector","Year",2075,"Vint_2075","CO2 (MTC)",71.6181170746075
"Decarbonization","Global","Global","emissCO2BySector","Year",2080,"Vint_2080","CO2 (MTC)",58.5966419398821
"Decarbonization","Global","Global","emissCO2BySector","Year",2085,"Vint_2085","CO2 (MTC)",47.6080468264114
"Decarbonization","Global","Global","emissCO2BySector","Year",2090,"Vint_2090","CO2 (MTC)",38.3519403912478
"Decarbonization","Global","Global","emissCO2BySector","Year",2095,"Vint_2095","CO2 (MTC)",30.7616271691629
"Decarbonization","Global","Global","emissCO2BySector","Year",2100,"Vint_2100","CO2 (MTC)",24.4835827450215
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2010,"vint_2010","CO2 (GTC)",0.169797675674
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2011,"vint_2011","CO2 (GTC)",0.340892807526367
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2012,"vint_2012","CO2 (GTC)",0.514582851735467
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2013,"vint_2013","CO2 (GTC)",0.6908678083013
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2014,"vint_2014","CO2 (GTC)",0.869747677223867
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2015,"vint_2015","CO2 (GTC)",1.05122245850317
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2016,"vint_2016","CO2 (GTC)",1.2328844058907
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2017,"vint_2017","CO2 (GTC)",1.4149206854947
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2018,"vint_2018","CO2 (GTC)",1.59733129731517
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2019,"vint_2019","CO2 (GTC)",1.7801162413521
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2020,"vint_2020","CO2 (GTC)",1.9632755176055
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2021,"vint_2021","CO2 (GTC)",2.14687510700113
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2022,"vint_2022","CO2 (GTC)",2.33135532268123
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2023,"vint_2023","CO2 (GTC)",2.51671616464579
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2024,"vint_2024","CO2 (GTC)",2.70295763289481
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2025,"vint_2025","CO2 (GTC)",2.8900797274283
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2026,"vint_2026","CO2 (GTC)",3.07099890180498
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2027,"vint_2027","CO2 (GTC)",3.25362406815771
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2028,"vint_2028","CO2 (GTC)",3.4379552264865
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2029,"vint_2029","CO2 (GTC)",3.62399237679134
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2030,"vint_2030","CO2 (GTC)",3.81173551907224
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2031,"vint_2031","CO2 (GTC)",3.9930688744292
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2032,"vint_2032","CO2 (GTC)",4.17494870557436
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2033,"vint_2033","CO2 (GTC)",4.35737501250772
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2034,"vint_2034","CO2 (GTC)",4.54034779522927
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2035,"vint_2035","CO2 (GTC)",4.72386705373902
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2036,"vint_2036","CO2 (GTC)",4.89977251615722
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2037,"vint_2037","CO2 (GTC)",5.07542548587815
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2038,"vint_2038","CO2 (GTC)",5.25082596290181
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2039,"vint_2039","CO2 (GTC)",5.42597394722821
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2040,"vint_2040","CO2 (GTC)",5.60086943885734
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2041,"vint_2041","CO2 (GTC)",5.76788709866841
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2042,"vint_2042","CO2 (GTC)",5.93403959951058
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2043,"vint_2043","CO2 (GTC)",6.09932694138385
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2044,"vint_2044","CO2 (GTC)",6.26374912428821
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2045,"vint_2045","CO2 (GTC)",6.42730614822367
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2046,"vint_2046","CO2 (GTC)",6.58214996469625
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2047,"vint_2047","CO2 (GTC)",6.73569819470518
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2048,"vint_2048","CO2 (GTC)",6.88795083825047
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2049,"vint_2049","CO2 (GTC)",7.03890789533212
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2050,"vint_2050","CO2 (GTC)",7.18856936595012
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2051,"vint_2051","CO2 (GTC)",7.33070515896738
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2052,"vint_2052","CO2 (GTC)",7.47139611925188
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2053,"vint_2053","CO2 (GTC)",7.61064224680362
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2054,"vint_2054","CO2 (GTC)",7.74844354162261
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2055,"vint_2055","CO2 (GTC)",7.88480000370883
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2056,"vint_2056","CO2 (GTC)",8.01517874393996
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2057,"vint_2057","CO2 (GTC)",8.14259753588558
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2058,"vint_2058","CO2 (GTC)",8.2670563795457
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2059,"vint_2059","CO2 (GTC)",8.38855527492031
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2060,"vint_2060","CO2 (GTC)",8.50709422200942
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2061,"vint_2061","CO2 (GTC)",8.62735241337124
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2062,"vint_2062","CO2 (GTC)",8.74344472233126
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2063,"vint_2063","CO2 (GTC)",8.85537114888947
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2064,"vint_2064","CO2 (GTC)",8.96313169304586
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2065,"vint_2065","CO2 (GTC)",9.06672635480045
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2066,"vint_2066","CO2 (GTC)",9.17757301295917
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2067,"vint_2067","CO2 (GTC)",9.28224855604988
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2068,"vint_2068","CO2 (GTC)",9.38075298407257
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","year",2069,"vint_2069","CO2 (GTC)",9.47308629702724
